Stimulus(s),S21(Real),S21(Imag)
7.46149229846E-08,-1.01873027944E-08,+9.42923180276E-09
7.48149629926E-08,+2.72837977163E-09,+2.71293822143E-08
7.50150030006E-08,+2.45928800934E-08,+2.24535996880E-08
7.52150430086E-08,+3.02807815804E-08,+1.10082949768E-09
7.54150830166E-08,+1.56400925124E-08,-1.32006978429E-08
7.56151230246E-08,-9.87016709353E-10,-9.01015046648E-09
7.58151630326E-08,-5.16611686365E-09,+2.33315459022E-09
7.60152030406E-08,-2.80783172446E-09,+7.34597416822E-09
7.62152430486E-08,-5.24684436566E-09,+1.01648951991E-08
7.64152830566E-08,-7.28418491458E-09,+2.24077945175E-08
7.66153230646E-08,+7.19656745764E-09,+3.86880063367E-08
7.68153630726E-08,+3.77015305111E-08,+3.62241462697E-08
7.70154030806E-08,+5.78324734466E-08,+4.27710352224E-09
7.72154430886E-08,+4.27906747727E-08,-3.51374922267E-08
7.74154830966E-08,+1.40727431410E-09,-4.69479898788E-08
7.76155231046E-08,-3.01161795947E-08,-2.25036072832E-08
7.78155631126E-08,-2.83074697094E-08,+1.03940797213E-08
7.80156031206E-08,-7.55017002615E-09,+2.07955954951E-08
7.82156431286E-08,+8.52005924614E-10,+1.02397347668E-08
7.84156831366E-08,-1.12764274685E-08,+6.74086869966E-09
7.86157231446E-08,-2.02225540109E-08,+2.62175314909E-08
7.88157631526E-08,-2.51088355669E-09,+5.08994273318E-08
7.90158031606E-08,+3.39129796834E-08,+5.09551180624E-08
7.92158431686E-08,+5.78848418107E-08,+2.06322281518E-08
7.94158831766E-08,+5.02116617334E-08,-1.56075279522E-08
7.96159231846E-08,+2.20634785289E-08,-3.12749872645E-08
7.98159631926E-08,-1.97752533848E-09,-2.34861119387E-08
8.00160032006E-08,-1.04541913975E-08,-8.03497817608E-09
8.02160432086E-08,-9.40877588329E-09,+2.84734819912E-09
8.04160832166E-08,-6.68227028633E-09,+9.60124516661E-09
8.06161232246E-08,-2.14063800557E-09,+1.53378231108E-08
8.08161632326E-08,+5.50921406756E-09,+1.73832037399E-08
8.10162032406E-08,+1.13735763839E-08,+1.32752838312E-08
8.12162432486E-08,+1.06526831739E-08,+8.40668006836E-09
8.14162832567E-08,+8.05187005955E-09,+9.69174033545E-09
8.16163232647E-08,+1.24690196187E-08,+1.34561734059E-08
8.18163632727E-08,+2.18965697814E-08,+8.23824155314E-09
8.20164032807E-08,+2.19547695675E-08,-7.52424124514E-09
8.22164432887E-08,+4.82314251313E-09,-1.79115285178E-08
8.24164832967E-08,-1.56650368432E-08,-7.13260392369E-09
8.26165233047E-08,-1.66902730800E-08,+1.77930365864E-08
8.28165633127E-08,+5.26455948718E-09,+3.09305351672E-08
8.30166033207E-08,+2.68122192556E-08,+1.72238989477E-08
8.32166433287E-08,+2.35523244656E-08,-7.98716153709E-09
8.34166833367E-08,-9.23981075845E-10,-1.56891783660E-08
8.36167233447E-08,-1.90270254894E-08,+3.19615813554E-09
8.38167633527E-08,-1.12661903961E-08,+2.83552812074E-08
8.40168033607E-08,+1.32546322753E-08,+3.50288650353E-08
8.42168433687E-08,+3.11247896669E-08,+2.07390704004E-08
8.44168833767E-08,+3.20201709543E-08,+2.05357176399E-09
