Stimulus(Hz),S11(dB)
5.75199361994E+07,-1.73165791014E-01
5.76099360994E+07,-1.67539644191E-01
5.76999359994E+07,-1.80570920640E-01
5.77899358994E+07,-1.80837207326E-01
5.78799357994E+07,-1.68462754469E-01
5.79699356994E+07,-1.74748131464E-01
5.80599355994E+07,-1.84833504992E-01
5.81499354994E+07,-1.74850614196E-01
5.82399353994E+07,-1.69803568598E-01
5.83299352994E+07,-1.83194121469E-01
5.84199351994E+07,-1.82447083666E-01
5.85099350994E+07,-1.70326859744E-01
5.85999349993E+07,-1.77389549465E-01
5.86899348993E+07,-1.87111859760E-01
5.87799347993E+07,-1.76696372152E-01
5.88699346993E+07,-1.72161018745E-01
5.89599345993E+07,-1.85754386352E-01
5.90499344993E+07,-1.84936296925E-01
5.91399343993E+07,-1.72352406399E-01
5.92299342993E+07,-1.80360444814E-01
5.93199341993E+07,-1.89736277051E-01
5.94099340993E+07,-1.79090774136E-01
